product_id,product_name,status,details
SWING_GUAVA_270,Swing guava 270ml,DOWNLOADED,product_images\Swing guava 270ml__SWING_GUAVA_270.webp
PAPER_BOAT_COCONUT_200,Paper boat coconut 200ml,DOWNLOADED,product_images\Paper boat coconut 200ml__PAPER_BOAT_COCONUT_200.webp
MAAZA_150,Maaza 150ml mango,DOWNLOADED,product_images\Maaza 150ml mango__MAAZA_150.webp
FROOTI_300,Frooti Mango 300ml,DOWNLOADED,product_images\Frooti Mango 300ml__FROOTI_300.webp
MAAZA_270,Maaza 270ml mango,DOWNLOADED,product_images\Maaza 270ml mango__MAAZA_270.webp
PEPSI_CAN_300,Pepsi Can 300ml,DOWNLOADED,product_images\Pepsi Can 300ml__PEPSI_CAN_300.webp
RASKIK_150,Raskik 150ml mango,DOWNLOADED,product_images\Raskik 150ml mango__RASKIK_150.webp
SWING_270,Swing pomegranate 270ml,DOWNLOADED,product_images\Swing pomegranate 270ml__SWING_270.webp
MINUTE_MAID_ORANGE_250,Minute Maid Orange 250ml,DOWNLOADED,product_images\Minute Maid Orange 250ml__MINUTE_MAID_ORANGE_250.webp
REDBULL_250,Red Bull Energy Drink 250ml,DOWNLOADED,product_images\Red Bull Energy Drink 250ml__REDBULL_250.webp
POWERHORSE_250,Power Horse 250ml,DOWNLOADED,product_images\Power Horse 250ml__POWERHORSE_250.webp
MONSTER_ULTRA_350,Monster Ultra Can 350ml,DOWNLOADED,product_images\Monster Ultra Can 350ml__MONSTER_ULTRA_350.webp
MONSTER_CAN_350,Monster Energy Can 350ml,DOWNLOADED,product_images\Monster Energy Can 350ml__MONSTER_CAN_350.webp
STING_250,Sting Energy 250ml,DOWNLOADED,product_images\Sting Energy 250ml__STING_250.webp
CAMPA_ENERGY_185,Campa Energy Gold 185ml,DOWNLOADED,product_images\Campa Energy Gold 185ml__CAMPA_ENERGY_185.webp
LIMCA_250,Limca 250ml,DOWNLOADED,product_images\Limca 250ml__LIMCA_250.webp
REDBULL_SUGARFREE_250,Red Bull Sugarfree 250ml,DOWNLOADED,product_images\Red Bull Sugarfree 250ml__REDBULL_SUGARFREE_250.webp
DIET_COKE_300,Diet Coke 300ml,DOWNLOADED,product_images\Diet Coke 300ml__DIET_COKE_300.webp
SPRITE_250,Sprite 250ml,DOWNLOADED,product_images\Sprite 250ml__SPRITE_250.webp
APPY_FIZZ_250,Appy Fizz 250ml,DOWNLOADED,product_images\Appy Fizz 250ml__APPY_FIZZ_250.webp
